"","CASE","REF","CO01","correct_total_pt","correct_percent_pt","Per_Know","E_Trust","Per_Sev","Per_SE","Per_Vuln","correct_total_kt","correct_percent_kt","Sex","DE02_01","Edu1","Edu_other","Job","Job_othr","Anstllung","Anst_offen","Input","ITSJOB","PK1","PK2","ET1","ET2","ET3","PS1","PS2","PS3","PV1","PV2","PV3","SE1","SE2","SE3","Phish_Vic_Count","KT01","KT02","KT05","KT07","KT09","KT10","KT14","KT15","KT16","KT17","PTP5","PTP6","PTP9","PTP10","PTE4","PTE5","PTE7","PTE10","TIME001","TIME002","TIME003","TIME004","TIME005","TIME006","TIME007","TIME008","TIME009","TIME010","TIME011","TIME012","TIME013","TIME014","TIME015","TIME016","TIME017","TIME018","TIME019","TIME020","TIME021","TIME022","TIME023","TIME024","TIME_SUM","LASTPAGE","MAXPAGE","DEG_TIME"
"11",185,"mph",1,6,75,6,2.333333333,6,4.333333333,2.333333333,8,80,2,15,9,NA,1,NA,1,NA,NA,1,6,6,3,1,3,6,6,6,2,3,2,6,4,3,2,2,2,1,1,2,2,2,2,1,1,2,2,2,2,2,2,1,1,6,57,49,96,13,48,32,19,38,9,9,7,26,17,37,7,7,2,17,1,6,30,8,7,548,24,24,61
"12",193,"mph",1,5,63,4,1.666666667,6,3,3.333333333,8,80,2,30,7,NA,10,NA,4,NA,"Zum Erkennen der Phishing-E-Mails kommt es natürlich auch immer auf den Kontext an. Wenn ich eine Änderung in einem Online Zugang oder Account vornehme, erwarte ich auch diesbezüglich eine Mail von dem Anbieter. Trifft dies allerdings nicht zu, so muss es eine Phishing-E-Mail sein. Diese Vorgehsweise war hier offensichtlich nicht zu erkennen.",5,4,4,2,2,1,6,6,6,5,2,3,3,3,3,2,1,2,2,2,2,2,2,2,2,1,2,2,2,1,1,2,1,2,10,24,128,181,27,67,56,32,98,44,25,19,91,45,63,76,39,12,26,22,49,44,21,418,1204,24,24,1
"13",195,"mph",1,NA,NA,6,1,6,6,4,8,80,2,32,7,NA,4,NA,4,NA,NA,4,6,6,1,1,1,6,6,6,6,3,3,6,6,6,2,1,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,1,1,22,24,74,86,21,49,43,14,58,59,16,17,41,49,42,24,25,7,4,7,NA,NA,NA,NA,682,20,20,15
"14",198,"frnd",1,4,50,4,3.333333333,4.333333333,3.666666667,4.666666667,7,70,1,27,8,NA,10,NA,6,NA,NA,5,4,4,4,2,4,4,4,5,4,5,5,4,4,3,2,2,2,1,1,2,2,2,2,2,1,2,2,2,1,2,2,2,1,59,442,91,201,83,72,85,53,1948,32,19,25,52,56,28,56,38,6,27,20,130,61,23,13,1252,24,24,0
"15",208,"mph",1,7,88,5.5,4,6,4.666666667,4,6,60,2,35,5,NA,9,NA,4,NA,NA,1,6,5,4,4,4,6,6,6,4,4,4,5,4,5,2,1,2,1,1,2,2,2,2,2,1,2,2,2,2,1,2,1,1,4,16,160,128,10,37,54,19,43,30,9,8,48,15,28,18,22,1,2,12,8,19,16,14,721,24,24,55
"16",214,"mph",1,4,50,5,1.333333333,6,5.666666667,3,9,90,2,52,6,NA,8,NA,6,NA,"Anmerkung zur Einschätzung von Phishing-Mails:
eine Mail für echt halten und in einer Mail auf einen Link klicken sind für mich zwei verschiedene Dinge. IdR reicht es mir, mich auf herkömmlichen Weg in meinen Account einzuloggen um geforderte Änderungen vorzunehmen oder ich prüfe die Mail in der Textausgabe um den Link zu verifizieren. 
Die Optionen glaubhaft/nicht-glaubhaft wären treffender.",4,5,5,1,1,2,6,6,6,6,2,1,6,6,5,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,22,121,180,70,44,66,23,92,6,17,10,68,12,17,13,5,4,20,15,25,27,10,353,874,24,24,35
"17",217,"mph",1,6,75,6,2.666666667,6,6,1.666666667,9,90,2,20,7,NA,1,NA,3,NA,NA,3,6,6,1,3,4,6,6,6,2,2,1,6,6,6,2,2,2,1,2,2,2,2,2,1,1,2,2,2,1,2,1,1,1,22,5,36,70,41,29,27,40,41,41,22,37,43,19,41,29,44,6,19,4,16,11,9,1,653,24,24,31
"18",225,"mph",1,7,88,5.5,1.666666667,6,5,3,8,80,2,20,7,NA,1,NA,3,NA,NA,5,5,6,2,2,1,6,6,6,4,3,2,5,5,5,2,2,2,1,2,2,1,2,2,1,1,2,2,2,1,1,1,1,1,3,7,31,67,22,41,25,34,32,17,17,20,55,32,64,21,28,4,8,8,30,24,16,6,612,24,24,20
"19",226,"mph",1,4,50,6,2.333333333,6,6,2,10,100,2,18,9,NA,1,NA,1,NA,NA,5,6,6,4,1,2,6,6,6,2,2,2,6,6,6,2,2,2,2,2,2,2,2,2,1,1,1,2,2,1,1,2,1,2,3,10,47,71,17,60,43,6,15,60,12,29,36,12,24,27,32,6,6,4,11,7,6,2,546,24,24,53
"20",234,"mph",1,5,63,4,1.666666667,5.666666667,3.666666667,4.666666667,8,80,2,19,4,NA,4,NA,2,NA,NA,5,4,4,2,1,2,5,6,6,6,4,4,4,4,3,2,2,2,2,1,2,2,2,2,2,1,2,2,1,2,2,2,1,1,44,88,90,195,18,63,62,42,74,52,28,50,55,38,45,39,47,8,15,6,11876,185,NA,NA,1296,22,22,2
"21",238,"mph",1,NA,NA,6,1,6,5.333333333,3.333333333,7,70,2,32,8,NA,11,NA,4,NA,NA,2,6,6,1,1,1,6,6,6,3,1,6,6,5,5,2,1,2,1,1,2,2,2,2,1,1,2,2,2,1,1,2,1,2,5,17,71,92,12,55,48,17,40,13,13,8,56,32,8,12,16,6,3,2,NA,NA,NA,NA,526,20,20,42
"22",239,"mph",1,7,88,5,3,5.333333333,5,3.666666667,9,90,2,51,7,NA,1,NA,6,NA,NA,5,5,5,3,3,3,5,5,6,5,4,2,5,5,5,2,2,2,2,1,2,2,2,2,1,1,2,2,2,2,1,2,1,1,21,95,80,255,61,189,137,33,124,88,24,215,37,32,29,49,18,5,8,8,115,50,19,432,1506,24,24,4
"23",241,"mph",1,8,100,4,2.666666667,6,3.666666667,3.333333333,7,70,2,23,8,NA,10,NA,3,NA,NA,5,4,4,2,3,3,6,6,6,3,4,3,4,3,4,2,2,2,1,2,2,1,2,2,2,1,2,2,2,2,1,1,1,1,2,45,41,74,12,37,25,32,22,9,20,5,36,21,27,11,28,3,17,3,29,12,9,2,522,24,24,45
"24",242,"mph",1,4,50,5.5,3.333333333,6,3.666666667,4.333333333,8,80,2,18,7,NA,1,NA,3,NA,NA,3,6,5,4,3,3,6,6,6,5,5,3,3,4,4,2,2,2,1,2,2,2,1,2,1,1,2,2,2,1,2,2,1,2,68,84,82,121,136,38,46,31,126,62,26,34,180,71,90,78,59,6,56,6,47,43,18,17,1463,24,24,1
"25",243,"mph",1,6,75,5,1.666666667,5.666666667,4,3.333333333,8,80,2,27,8,NA,4,NA,4,NA,"Meiner meinung nach ist es besser zu skeptisch zu sein und im zweifel eine echte email als phishing zu behandeln. Erfahrungsgemäss wird man wiederholt kontaktiert (teilweise auch auf einem anderen weg als email) falls etwas wirklich wichtig war.",5,5,5,2,1,2,5,6,6,5,3,2,4,4,4,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,1,2,2,1,32,51,87,12350,72,104,76,98,195,52,49,20,240,115,125,110,96,14,52,92,91,78,60,250,1931,24,24,0
"26",250,"mph",1,7,88,6,3,6,5,2.666666667,8,80,2,37,5,NA,4,NA,4,NA,NA,1,6,6,3,3,3,6,6,6,2,2,4,5,5,5,2,2,2,1,2,2,2,2,2,2,1,2,2,2,1,1,1,1,1,3,9,68,128,12,40,33,10,50,16,13,15,27,30,79,16,40,10,3,6,24,19,14,2,667,24,24,36
"27",251,"mph",1,5,63,5.5,2.666666667,6,4.333333333,2.333333333,7,70,2,31,6,NA,7,NA,2,NA,NA,3,5,6,2,3,3,6,6,6,4,2,1,5,5,3,2,2,2,2,2,1,1,2,2,2,1,2,2,2,1,1,2,1,2,27,5,76,110,22,52,59,10,34,8,20,7,49,21,13,12,10,2,3,3,57,45,14,NA,659,23,23,45
"28",255,"mph",1,6,75,5,2,6,4.666666667,3,9,90,2,21,7,NA,1,NA,3,NA,NA,5,5,5,3,1,2,6,6,6,4,3,2,4,5,5,2,2,2,2,1,2,2,2,2,1,1,2,2,2,1,1,2,1,1,2,9,47,75,32,88,43,25,5821,7150,11,8,56,25,7,14,33,8,8,9,21,38,67,5,716,24,24,28
"29",258,"mph",1,7,88,4.5,2.333333333,6,4,3.666666667,6,60,1,24,6,NA,7,NA,3,NA,NA,4,5,4,2,3,2,6,6,6,3,4,4,4,4,4,2,2,1,1,1,2,1,2,2,1,1,2,2,2,2,1,1,1,2,6,30,62,81,39,89,32,32,72,36,18,19,49,69,71,25,40,4,24,8,99,3,12,NA,920,23,23,25
"30",259,"mph",1,5,63,5,1,6,5,3,9,90,2,55,8,NA,11,NA,4,NA,NA,1,5,5,1,1,1,6,6,6,4,3,2,5,5,5,2,2,2,1,2,2,2,2,2,1,1,2,2,2,1,2,2,1,1,6,53,47,83,48,42,50,36,58,13,15,16,32,16,38,14,30,4,27,6,32,91,51,70,813,24,24,12
"31",267,"mph",1,6,75,4.5,1,6,4,3,10,100,2,18,9,NA,1,NA,1,NA,NA,5,5,4,1,1,1,6,6,6,4,3,2,4,4,4,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1,1,2,1,1,11,30,81,151,65,65,114,41,69,77,48,75,130,55,22,31,62,6,38,14,63,65,19,3,1335,24,24,2
"32",269,"mph",1,5,63,6,1.666666667,6,6,2.333333333,7,70,2,17,9,NA,1,NA,1,NA,NA,5,6,6,3,1,1,6,6,6,5,1,1,6,6,6,2,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,13,12,44,85,10,47,41,45,29,7,4,8,7086,4,5,13,14,4,4,3,4,3,8,2,458,24,24,110
"33",278,"mph",1,7,88,4.5,2,6,4.666666667,4.666666667,8,80,3,26,5,NA,4,NA,4,NA,"Die Auswertung ist nicht leicht verständlich (korrekt/inkorrekt)
Die letzte phishing mail (lufthansa) ist echt gut gemacht",5,5,4,2,1,3,6,6,6,5,5,4,5,5,4,2,2,2,1,2,2,1,2,2,1,1,2,2,2,1,1,1,1,1,15,39,60,228,53,49,52,41,47,86,27,12,45,32,49,34,20,7,29,13,207,146,49,126,1345,24,24,4
"34",280,"mph",1,7,88,5.5,3.666666667,6,4.666666667,3.666666667,7,70,2,17,9,NA,1,NA,1,NA,NA,4,6,5,3,5,3,6,6,6,4,4,3,5,4,5,2,1,2,1,2,2,1,2,2,1,1,1,2,2,2,1,1,1,1,46,45,111,145,60,81,88,47,49,78,43,61,41,45,50,27,38,11,20,8,37,52,13,5,1201,24,24,2
"35",282,"mph",1,4,50,6,2,6,5,3,7,70,2,34,5,NA,4,NA,8,"In Weiterbildung",NA,1,6,6,2,2,2,6,6,6,4,4,1,5,5,5,2,2,2,1,1,2,1,2,2,1,1,2,2,1,1,1,2,1,2,2,6,46,92,11,159,47,13,39,17,10,44,46,16,35,12,19,9,35,14,46,56,10,5,789,24,24,26
"36",287,"mph",1,6,75,5,2,6,1.666666667,5.666666667,8,80,2,41,4,NA,4,NA,6,NA,NA,1,5,5,2,2,2,6,6,6,5,6,6,2,2,1,2,2,2,2,1,2,2,2,2,2,1,2,2,2,1,1,1,1,2,10,20,86,246,25,106,56,47,66,62,25,14,61,27,32,16,47,10,5,7,44,72,11,4,1099,24,24,9
"37",288,"mph",1,6,75,5,3,6,5,4.333333333,9,90,1,23,4,NA,1,NA,2,NA,NA,4,6,4,3,4,2,6,6,6,4,5,4,5,5,5,2,2,2,2,2,2,1,2,2,1,1,2,2,2,1,2,1,1,1,21,129,73,123,29,95,98,41,38,77,75,38,83,107,203,37,30,8,13,15,118,82,105,7,1270,24,24,2
"38",291,"mph",1,4,50,6,1.666666667,6,5.666666667,2,9,90,2,28,6,NA,7,NA,4,NA,NA,1,6,6,3,1,1,6,6,6,2,2,2,5,6,6,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,8,121,93,10,53,58,12,60,15,8,8,19,14,34,18,4,2,5,3,5,15,5,2,574,24,24,79
"39",292,"mph",1,3,38,5.5,4.333333333,6,6,4,8,80,2,20,7,NA,1,NA,3,NA,NA,4,5,6,2,5,6,6,6,6,3,5,4,6,6,6,2,2,2,1,2,2,2,2,2,2,1,2,2,1,1,2,2,1,2,21,29,110,94,16,45,28,32,49,35,36,57,73,46,27,19,31,10,13,11,31,NA,NA,NA,813,21,21,9
"40",295,"mph",1,5,63,5.5,2.666666667,6,6,4.333333333,8,80,2,20,7,NA,1,NA,3,NA,NA,4,6,5,2,4,2,6,6,6,4,6,3,6,6,6,2,2,2,1,2,1,2,2,2,1,1,2,2,2,1,2,1,2,1,2,28,48,1479,50,40,31,18,20,28,17,6,12,13,21,21,13,1,4,7,31,30,11,2,559,24,24,51
"41",297,"mph",1,7,88,5.5,1.333333333,6,5.333333333,3,10,100,2,15,9,NA,1,NA,1,NA,NA,5,5,6,1,2,1,6,6,6,4,3,2,5,5,6,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,2,1,1,20,7,24,74,10,32,33,12,23,15,13,27,36,12,8,13,19,10,18,4,24,24,14,12,484,24,24,40
"42",298,"mph",1,6,75,4,1.666666667,6,4.666666667,4.333333333,9,90,1,35,5,NA,7,NA,4,NA,NA,4,4,4,2,2,1,6,6,6,5,5,3,4,5,5,2,2,2,1,2,2,2,2,2,1,1,2,2,2,1,1,2,1,1,13,26,94,95,15,33,74,32,53,79,39,41,150,36,77,42,71,12,29,20,82,34,14,147,1166,24,24,4
"43",300,"frnd",1,NA,NA,1,3.666666667,4,1.333333333,2.666666667,8,80,1,24,8,NA,11,NA,3,NA,NA,5,1,1,4,3,4,4,3,5,2,4,2,1,1,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,1,1,2,2,1,4,6,88,79,32,27,40,13,42,6,11,20,35,11,11,9,10,4,8,3,NA,NA,NA,NA,459,20,20,47
"44",302,"mph",1,6,75,6,2,6,5.333333333,2.333333333,10,100,2,36,6,NA,1,NA,4,NA,NA,5,6,6,2,2,2,6,6,6,3,3,1,5,5,6,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1,1,2,1,1,53,198,97,300,105,104,94,50,119,31,69,48,62,69,32,29,40,23,56,19,97,130,54,22,1672,24,24,0
"45",304,"mph",1,8,100,6,3.666666667,6,6,1.333333333,7,70,2,23,5,NA,4,NA,4,NA,NA,4,6,6,2,4,5,6,6,6,1,2,1,6,6,6,2,1,2,1,2,2,1,2,2,1,1,2,2,2,2,1,1,1,1,34,8,90,157,34,56,51,55,52,66,15,11,42,43,55,18,23,2,10,6,38,11,8,4,889,24,24,19
"46",305,"mph",1,7,88,5.5,1.333333333,6,4,2.666666667,10,100,2,27,7,NA,11,NA,4,NA,NA,4,6,5,1,1,2,6,6,6,3,3,2,4,4,4,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,2,1,1,47,29,60,180,40,76,65,22,107,44,26,82,88,37,87,14,52,7,8,2,14,19,34,8,1148,24,24,14
"47",306,"mph",1,5,63,5,2,6,5,2.666666667,8,80,2,21,7,NA,1,NA,3,NA,NA,4,5,5,2,2,2,6,6,6,4,2,2,5,5,5,2,2,2,1,2,2,2,2,2,2,1,2,2,2,1,1,2,1,2,8,27,46,71,20,57,38,21,31,9,29,21,16,15,13,22,12,4,19,4,35,14,10,3,545,24,24,30
"48",315,"lnkd",1,7,88,4.5,2.666666667,4.333333333,4,2.666666667,7,70,1,29,8,NA,11,NA,5,NA,NA,5,4,5,3,2,3,4,4,5,4,2,2,4,4,4,2,1,2,2,2,2,1,2,2,1,2,2,2,2,1,1,1,1,1,232,17,36,115,42,61,37,33,78,20,16,11,43,17,30,11,14,9,11,44,58,18,14,4,705,24,24,15
"49",317,"mttr",1,5,63,2,2,5.333333333,2.666666667,4,8,80,1,51,6,NA,12,"Fachakademie",6,NA,"Ich bin gut durchgekommen und finde es gut und wichtig, für dieses Thema ein Bewusstsein zu entwickeln. Ich merke, das ich mich da noch mehr einarbeiten möchte. Danke für die Links dazu!

Ich hätte mir eine Erklärung bei der Frage mit den ""Office-Dateien mit Makro-Funktion"" gewünscht!
Ich hätte mir auch gewünscht, dass bei den Bilderbeispielen die Phishing-Fehler benannt werden, denn bei meinem Phishing-Mail-Fehler mit Lufthansa habe ich nicht verstanden, warum meine Antwort falsch war...


",5,2,2,4,1,1,5,5,6,4,4,4,2,3,3,1,2,2,1,2,2,1,2,2,1,1,2,2,2,1,2,1,2,1,16,54958,143,282,128,107,178,53,108,99,37,50,84,101,97,54,64,21,39,34,399,220,125,269,1787,24,24,0
"50",318,"mph",1,NA,NA,6,3.666666667,6,6,1,9,90,2,27,8,NA,1,NA,3,NA,NA,2,6,6,1,4,6,6,6,6,1,1,1,6,6,6,2,2,2,2,2,2,2,1,2,1,1,2,2,2,2,1,2,1,1,3,5,38,78,10,47,61,30,25,21,15,23,67,16,16,13,38,1,8,3,NA,NA,NA,NA,518,20,20,42
"51",319,"mph",1,8,100,4,3.333333333,6,4,4.333333333,7,70,1,23,8,NA,11,NA,5,NA,NA,3,4,4,3,4,3,6,6,6,4,5,4,4,4,4,2,2,2,2,1,2,1,2,2,2,1,2,2,2,2,1,1,1,1,2,7,91,104,89,45,47,18,27,11,14,11,31,15,29,10,27,5,16,77,103,21,11,4,742,24,24,27
"52",322,"mph",1,6,75,6,3.333333333,6,6,1.666666667,6,60,1,26,8,NA,11,NA,3,NA,NA,5,6,6,4,1,5,6,6,6,2,2,1,6,6,6,2,2,2,2,1,2,1,2,2,2,2,1,2,2,1,1,1,1,1,1258,57,96,16305,33,31,37,75,62,73,35,20,38,41,44,30,30,10,21,4,72,65,4893,NA,999,23,23,3
"53",327,"mph",1,NA,NA,5.5,1.666666667,6,6,3,9,90,2,18,7,NA,1,NA,3,NA,NA,5,6,5,1,2,2,6,6,6,4,3,2,6,6,6,2,1,2,2,2,2,2,2,2,1,1,2,2,2,2,1,1,2,1,4,12,48,48,11,32,23,18,33,4,13,40,3,20,3,3,18,1,3,3,NA,NA,NA,NA,340,20,20,125
"54",329,"mph",1,4,50,6,1,6,5.333333333,2.333333333,7,70,2,17,4,NA,1,NA,2,NA,NA,1,6,6,1,1,1,6,6,6,4,2,1,4,6,6,2,2,2,1,1,2,1,2,2,1,1,1,2,2,1,1,2,1,2,2,5,38,95,9,61,54,9,57,50,8,25,13,25,11,22,10,3,19,10,28,41,9,NA,604,23,23,45
"55",332,"frnd",1,6,75,2,4.666666667,5.666666667,4,2.666666667,7,70,1,24,8,NA,11,NA,3,NA,NA,5,2,2,4,5,5,5,6,6,3,2,3,4,4,4,2,1,2,1,2,2,1,2,2,1,1,2,2,2,1,2,1,1,1,18,55,58,113,34,72,56,37,56,35,44,18,58,71,36,53,34,6,22,10,76,66,22,5,1055,24,24,1
"56",334,"mph",1,6,75,5,1,6,3.666666667,3,9,90,2,21,7,NA,1,NA,3,NA,NA,5,5,5,1,1,1,6,6,6,3,3,3,4,4,3,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1,1,1,1,1,5,139,71,352,58,64,62,67,141,85,28,57,101,35,82,19,32,13,174,22,50,42,22,35,1474,24,24,1
"57",335,"lnkd",1,7,88,6,2.666666667,5,5.666666667,2.333333333,8,80,1,24,7,NA,11,NA,3,NA,NA,4,6,6,3,2,3,5,5,5,3,2,2,6,6,5,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,1,1,5,18,47,317,14,64,17,26,95,24,44,32,91,48,20,26,201,3,5,3,21,29,10,2,987,24,24,23
"58",337,"frnd",1,6,75,5.5,4.333333333,6,5,1.333333333,8,80,2,24,7,NA,5,NA,4,NA,"Die Befragung war sehr gut gestaltet & mir hat die Teilnahme gut gefallen. 
",5,6,5,5,4,4,6,6,6,2,1,1,5,5,5,2,2,2,1,2,2,1,2,2,1,1,2,2,2,1,1,2,1,1,52,138,143,184,49,56,80,47,50,18,77,59,54,19,36,25,15,5,19,14,90,77,39,102,1183,24,24,4
"59",339,"mph",1,6,75,5,2,5.333333333,5,4.666666667,5,50,2,27,8,NA,10,NA,4,NA,NA,5,5,5,2,2,2,5,5,6,6,4,4,5,5,5,2,1,2,1,1,2,1,2,2,2,1,2,2,2,1,2,1,1,1,2,26,52,94,17,47,34,15,40,25,21,19,58,37,74,21,28,10,30,18,90,28,16,5,807,24,24,13
"60",341,"mph",1,6,75,6,1.333333333,6,6,2,9,90,2,19,4,NA,1,NA,2,NA,NA,1,6,6,1,2,1,6,6,6,3,2,1,6,6,6,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,1,1,1,17,15,47,95,28,44,25,25,97,40,14,28,26,48,48,37,47,5,4,3,21,17,5,6,742,24,24,22
"61",349,"lnkd",1,5,63,4.5,2.666666667,5.333333333,4.666666667,6,7,70,1,25,7,NA,11,NA,3,NA,NA,5,5,4,3,2,3,5,6,5,6,6,6,4,5,5,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,4683,14,345,74,60,77,40,65,76,42,20,36,57,21,28,28,13,7,25,8,80,39,20,4,1185,24,24,5
