"ID","duration","RecordedDate","mailboxfrequency","securitytraining","pre_self_1","pre_self_2","pre_self_3","attention_check_pre","pre_knowledge_1","pre_knowledge_2","pre_knowledge_3","pre_knowledge_4","pre_knowledge_5","pre_knowledge_6","pre_knowledge_7","pre_knowledge_8","pre_knowledge_9","pre_knowledge_10","pre_SA.13_1","pre_SA.13_2","pre_SA.13_3","pre_SA.13_4","pre_SA.13_5","pre_SA.13_6","pre_SA.13_7","pre_SA.13_8","pre_SA.13_9","pre_SA.13_10","pre_SA.13_11","pre_SA.13_12","pre_SA.13_13","pre_haisq_knowledge_1","pre_haisq_knowledge_2","pre_haisq_knowledge_3","pre_haisq_knowledge_4","pre_haisq_knowledge_5","pre_haisq_knowledge_6","pre_class_1","pre_class_2","pre_class_3","pre_class_4","pre_class_5","pre_class_6","pre_class_7","pre_class_8","pre_class_9","pre_class_10","pre_class_11","pre_class_12","pre_class_13","pre_class_14","pre_class_15","pre_class_16","pre_class_17","pre_class_18","pre_class_19","pre_class_20","pre_class_21","pre_class_22","pre_class_23","pre_class_24","video_1_check","video_2_check","video_3_check","Q300_First.Click","Q300_Last.Click","Q300_Page.Submit","Q300_Click.Count","t0_video1_q","t0_video1_t_First.Click","t0_video1_t_Last.Click","t0_video1_t_Page.Submit","t0_video1_t_Click.Count","t0_video2_q","t0_video2_t_First.Click","t0_video2_t_Last.Click","t0_video2_t_Page.Submit","t0_video2_t_Click.Count","t0_video3_q","t0_video3_t_First.Click","t0_video3_t_Last.Click","t0_video3_t_Page.Submit","t0_video3_t_Click.Count","Q320_First.Click","Q320_Last.Click","Q320_Page.Submit","Q320_Click.Count","Q313_First.Click","Q313_Last.Click","Q313_Page.Submit","Q313_Click.Count","Q267_First.Click","Q267_Last.Click","Q267_Page.Submit","Q267_Click.Count","Q328_First.Click","Q328_Last.Click","Q328_Page.Submit","Q328_Click.Count","Q333_First.Click","Q333_Last.Click","Q333_Page.Submit","Q333_Click.Count","Q331_First.Click","Q331_Last.Click","Q331_Page.Submit","Q331_Click.Count","Q269_First.Click","Q269_Last.Click","Q269_Page.Submit","Q269_Click.Count","feedback_like","feedback_dislike","feedback_general","feedback_00","feedback_01","feedback_02","feedback_10","feedback_11","feedback_12","feedback_2_videos_1","feedback_2_videos_2","feedback_2_videos_3","feedback_2","feedback_assign","post_class_1","post_class_2","post_class_3","post_class_4","post_class_5","post_class_6","post_class_7","post_class_8","post_class_9","post_class_10","post_class_11","post_class_12","post_class_13","post_class_14","post_class_15","post_class_16","post_class_17","post_class_18","post_class_19","post_class_20","post_class_21","post_class_22","post_class_23","post_class_24","post_attention","post_knowledge_1","post_knowledge_2","post_knowledge_3","post_knowledge_4","post_knowledge_5","post_knowledge_6","post_knowledge_7","post_knowledge_8","post_knowledge_9","post_knowledge_10","haisq_emailinternet_1","haisq_emailinternet_2","haisq_emailinternet_3","haisq_emailinternet_4","haisq_emailinternet_5","haisq_emailinternet_6","haisq_emailinternet_7","haisq_emailinternet_8","haisq_emailinternet_9","haisq_emailinternet_10","haisq_emailinternet_11","haisq_emailinternet_12","haisq_emailinternet_13","haisq_emailinternet_14","haisq_emailinternet_15","haisq_emailinternet_16","haisq_emailinternet_17","haisq_emailinternet_18","dem_age","dem_edu","dem_edu_8_TEXT","dem_it","dem_it_3_TEXT","dem_bfi_1","dem_bfi_2","dem_bfi_3","dem_bfi_4","dem_bfi_5","dem_bfi_6","dem_bfi_7","dem_bfi_8","dem_bfi_9","dem_bfi_10","post_self_1","post_self_2","post_self_3","post_sa.13_1","post_sa.13_2","post_sa.13_3","post_sa.13_4","post_sa.13_5","post_sa.13_6","post_sa.13_7","post_sa.13_8","post_sa.13_9","post_sa.13_10","post_sa.13_11","post_sa.13_12","post_sa.13_13","post_comments","post_errors","post_quality_q","post_quality_q_3_TEXT","SC0","string","PROLIFIC_PID","SESSION_ID","STUDY_ID","Timestamp_before_class_pre","Timestamp_train","Timestamp_train_end","Timestamp_before_class_post","Timestamp_after_class_post","Timestamp_demographics","condition","participant_score","reports","NOSCORE","group","pre.sa13_engagement","pre.sa13_attentiveness","pre.sa13_resistance","pre.sa13_concernedness","pre.sa13_total","post.sa13_engagement","post.sa13_attentiveness","post.sa13_resistance","post.sa13_concernedness","post.sa13_total","pre.haisq_email_knowledge","pre.haisq_internet_knowledge","post.haisq_email_knowledge","post.haisq_email_attitude","post.haisq_email_behaviour","post.haisq_internet_knowledge","post.haisq_internet_attitude","post.haisq_internet_behaviour","post.haisq_emailInternet_total","bfi_extraversion","bfi_agreeableness","bfi_conscientiousness","bfi_neuroticism","bfi_openness","class_phish_accuracy_pre","class_nophish_accuracy_pre","class_phish_accuracy_post","class_nophish_accuracy_post","knowledge_total_pre","knowledge_total_post","proficiency_pre","proficiency_post","prof_group","train_group","assignment_fit","outlier","feedback_total"
36,1547,"","Multiple times an hour","No, never",5,5,5,"Sunfish",NA,1,1,NA,NA,0,NA,1,1,NA,5,5,5,5,5,5,5,5,5,5,1,1,1,1,5,5,1,1,1,NA,0,1,NA,NA,1,NA,1,1,NA,NA,1,NA,1,NA,1,1,1,NA,NA,0,1,NA,0,"Postman","Look for the 'who-area'","Sending fake copies of real emails","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,"","","","I prefer the option I received.","I prefer the training to be recommended based on personalisation, but the choice remaining with me.",1,NA,NA,1,1,NA,1,NA,NA,1,1,NA,0,NA,1,NA,NA,NA,0,0,NA,NA,0,NA,0,1,NA,NA,1,1,NA,1,NA,NA,"Phishing can occur through emails, phone calls, and text messages.",5,1,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,"26-35","Primary school","","Yes, studies in Computer Science, IT Security, Cybersecurity or similar","",1,5,5,1,1,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,5,"","","Yes, you can use this data","","35","011001011001010110001101","","","","2024-08-28T10:36:50.634Z","2024-08-28T10:40:30.743Z","2024-08-28T10:52:31.305Z","2024-08-28T10:54:05.199Z","2024-08-28T10:55:39.916Z","2024-08-28T10:57:41.148Z","2",28,"","","2",5,5,5,1,4.33333333333333,5,5,5,1,4.07692307692308,11,3,11,15,15,15,11,15,82,3,5,3,1,3,0.833333333333333,0.714285714285714,1,0.2,0.8,0.8,26,24.5,2,"education","education",NA,"keep"
37,1691,"","Multiple times a week","No, never",4,4,3,"Sunfish",NA,1,1,NA,NA,0,NA,NA,1,1,3,3,4,2,2,4,3,3,4,5,3,3,4,2,4,5,4,4,3,NA,0,1,NA,NA,1,NA,NA,1,1,NA,1,NA,0,NA,1,0,0,NA,NA,NA,1,NA,1,"Postman","Look for the 'who-area'","Sending fake copies of real emails","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,"","","","I prefer the option I received.","I prefer the training to be assigned based on personalisation.",1,NA,NA,1,1,NA,1,1,NA,NA,1,NA,0,NA,1,NA,NA,NA,1,0,1,NA,1,NA,0,1,NA,NA,0,0,NA,1,1,NA,"Phishing can occur through emails, phone calls, and text messages.",2,2,5,3,5,5,4,5,5,5,5,5,5,2,5,5,5,4,"26-35","Graduate university degree (Bachelor/Master)","","No, other education or occupation","",2,2,3,3,4,1,3,2,4,4,4,5,4,4,4,4,3,4,3,2,3,4,3,3,4,2,"","","Yes, you can use this data","","29.1","011001001101010110100101","","","","2024-08-28T10:35:53.051Z","2024-08-28T10:37:31.005Z","2024-08-28T10:50:44.078Z","2024-08-28T10:53:30.521Z","2024-08-28T10:55:25.321Z","2024-08-28T10:57:56.470Z","2",19.1,"","","0",3,3,3.75,3.33333333333333,3.25,3,3.66666666666667,3.25,3.33333333333333,3.30769230769231,11,11,9,13,14,15,12,14,77,1.5,2.5,3,3.5,4,0.833333333333333,0.5,1,0.666666666666667,0.8,0.5,19.1,21.7,0,"education","education",NA,"keep"
38,1611,"","Multiple times a day","Yes, more than once",4,4,4,"Sunfish",0,1,NA,NA,NA,1,NA,NA,1,1,4,4,3,2,3,2,4,2,4,4,3,3,3,5,3,4,5,4,5,1,1,NA,NA,NA,1,NA,NA,1,1,1,NA,1,1,NA,NA,NA,NA,1,1,NA,NA,1,NA,"Postman","Look for the 'who-area'","Sending fake copies of real emails","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,"","","","Alternative 1: I would prefer receiving the full training.","I prefer the training to be recommended based on personalisation, but the choice remaining with me.",NA,NA,1,1,1,NA,1,1,NA,NA,NA,1,NA,NA,1,1,1,1,NA,NA,1,1,NA,0,0,NA,NA,1,1,1,NA,1,1,NA,"",4,4,5,5,5,5,4,5,4,5,4,5,4,5,5,4,3,4,"36-45","Graduate university degree (Bachelor/Master)","","No, other education or occupation","",5,2,3,5,5,4,4,2,4,5,3,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,"","","Yes, you can use this data","","40","110001001110110001110010","","","","2024-08-28T10:36:12.607Z","2024-08-28T10:38:04.169Z","2024-08-28T10:53:54.186Z","2024-08-28T10:55:21.562Z","2024-08-28T10:56:56.902Z","2024-08-28T11:00:21.538Z","2",28,"","","2",3,3,3.5,3,3.16666666666667,3.33333333333333,4,4,4,3.84615384615385,12,14,13,15,13,14,14,11,80,4.5,3,3,4.5,5,1,1,1,0.857142857142857,0.8,0.833333333333333,23,25.5,2,"education","education",NA,"prefer full"
39,1684,"","Multiple times a week","Yes, more than once",5,4,4,"Sunfish",NA,NA,0,0,1,NA,NA,1,1,NA,4,5,5,4,4,2,4,5,2,5,4,3,3,1,3,3,1,5,3,NA,NA,0,0,1,NA,NA,1,0,NA,NA,1,NA,NA,1,1,NA,NA,1,NA,1,1,NA,1,"Postman","Look for the 'who-area'","Sending fake copies of real emails","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,"","","","Alternative 1: I would prefer receiving the full training.","I prefer the training to be assigned based on personalisation.",1,0,NA,NA,NA,0,1,NA,NA,1,0,NA,1,1,NA,NA,1,1,NA,1,NA,NA,1,NA,0,1,1,NA,NA,NA,0,1,NA,NA,"Phishing can occur through emails, phone calls, and text messages.",3,3,3,5,5,4,4,5,5,4,5,4,5,4,4,4,3,5,"18-25","Graduate university degree (Bachelor/Master)","","Yes, studies in Computer Science, IT Security, Cybersecurity or similar","",2,4,2,2,2,4,5,5,2,5,5,5,5,5,4,4,4,5,5,3,5,5,3,4,3,5,"","","Yes, you can use this data","","34","001110011001001101001101","","","","2024-08-28T10:37:30.017Z","2024-08-28T10:40:30.120Z","2024-08-28T10:52:24.151Z","2024-08-28T10:55:04.983Z","2024-08-28T10:57:20.220Z","2024-08-28T10:59:26.694Z","2",25,"","","1",4.33333333333333,3.66666666666667,4,3.33333333333333,3.91666666666667,4.33333333333333,4,5,3.33333333333333,4.23076923076923,7,9,9,14,14,13,13,12,75,3,4.5,3,2,3.5,0.5,1,0.5,1,0.6,0.6,21,23.3,1,"education","education",NA,"prefer full"
40,1631,"","Multiple times an hour","Yes, once",3,3,3,"Sunfish",1,1,NA,NA,1,NA,1,NA,1,NA,2,2,2,2,2,2,4,4,3,4,1,2,3,3,2,4,3,3,4,1,0,NA,NA,1,NA,0,NA,0,NA,0,NA,0,NA,NA,1,1,1,NA,1,NA,1,1,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.368","1143.059","1153.333","102","","","",NA,NA,NA,NA,NA,"I would prefer the training I experienced.","","","",NA,"I prefer to select the training myself.",NA,NA,0,1,NA,1,NA,1,NA,0,NA,1,NA,0,1,NA,NA,NA,1,NA,1,NA,NA,1,0,NA,NA,0,1,NA,0,NA,1,NA,"",4,4,4,4,3,3,3,3,3,4,2,3,3,3,3,3,3,2,"26-35","Graduate university degree (Bachelor/Master)","","No, other education or occupation","",4,2,4,4,4,3,1,3,4,4,2,2,2,3,2,3,4,4,4,2,3,3,4,3,3,3,"","","Yes, you can use this data","","30.5","110010101010100110010110","","","","2024-08-28T10:35:55.010Z","2024-08-28T10:37:59.103Z","2024-08-28T10:57:25.464Z","2024-08-28T10:58:16.432Z","2024-08-28T10:59:10.682Z","2024-08-28T11:00:03.491Z","1",21.5,"12,22,29","","2",2,2,3.75,2,2.5,2.66666666666667,3,3.5,3.33333333333333,3.15384615384615,9,10,12,10,9,9,9,8,57,3.5,1.5,3,4,4,0.333333333333333,0.857142857142857,0.666666666666667,0.8,1,0.4,17.5,12.4,1,"limited","hard",NA,"keep"
41,1793,"","Multiple times a day","Yes, once",3,3,4,"Sunfish",NA,NA,1,0,1,NA,1,NA,NA,1,3,4,3,4,3,3,4,4,4,4,5,5,5,5,4,5,4,5,5,NA,NA,1,1,1,NA,0,NA,NA,1,NA,1,NA,1,NA,1,1,1,NA,NA,1,NA,NA,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.207","477.252","482.305","62","19.644","118.406","118.424","16","4.993","495.706","499.554","50","","","","","","","",NA,NA,NA,NA,"Alternative 1: I would prefer the full training with educational videos, tests with guidance, and the reminder elements.",NA,"","","",NA,"I prefer the training to be assigned based on personalisation.",1,1,NA,NA,NA,1,NA,1,0,NA,0,NA,1,NA,1,NA,NA,NA,1,1,NA,0,1,NA,0,1,1,NA,NA,NA,0,NA,1,1,"Phishing can occur through emails, phone calls, and text messages.",3,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,5,"26-35","PhD or similar","","No, other education or occupation","",1,1,2,5,2,1,2,3,5,1,4,3,4,3,4,3,5,4,4,4,3,4,5,4,5,5,"","","Yes, you can use this data","","35","001110100101010110101001","","","","2024-08-28T10:35:07.215Z","2024-08-28T10:36:41.529Z","2024-08-28T10:55:22.104Z","2024-08-28T10:57:07.071Z","2024-08-28T10:59:15.066Z","2024-08-28T11:00:43.721Z","1",26,"12,29","","1",3.33333333333333,3.33333333333333,4,5,3.83333333333333,3.33333333333333,4,4.25,4.66666666666667,4.07692307692308,14,14,13,15,15,15,14,14,86,1,1.5,3,5,1.5,0.833333333333333,0.833333333333333,0.666666666666667,0.833333333333333,0.8,0.666666666666667,23,23.1,2,"medium","easy",NA,"prefer full"
42,1683,"","Multiple times an hour","Yes, once",3,3,3,"Sunfish",NA,1,NA,1,NA,1,NA,NA,1,1,3,3,3,3,3,2,3,4,4,4,3,2,3,4,3,3,3,5,4,NA,1,NA,1,NA,1,NA,NA,1,1,NA,1,NA,1,1,NA,NA,NA,0,NA,NA,1,NA,1,"Postman","Look for the 'who-area'","Sending fake copies of real emails","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,"","","","Alternative 1: I would prefer receiving the full training.","I prefer to select the training myself.",1,NA,0,NA,1,NA,1,1,NA,NA,1,NA,1,NA,NA,1,1,1,NA,1,1,NA,0,NA,0,1,NA,1,NA,1,NA,1,1,NA,"Phishing can occur through emails, phone calls, and text messages.",3,3,3,4,5,4,4,4,2,4,4,4,4,4,4,3,4,3,"18-25","Graduate university degree (Bachelor/Master)","","No, other education or occupation","",2,4,2,2,2,3,2,4,4,2,4,4,3,4,4,3,4,4,4,3,3,4,3,3,4,4,"","","Yes, you can use this data","","36.6","010101001101011001100101","","","","2024-08-28T10:37:13.438Z","2024-08-28T10:41:27.839Z","2024-08-28T10:52:23.659Z","2024-08-28T10:53:55.922Z","2024-08-28T10:57:49.809Z","2024-08-28T10:59:39.559Z","2",24.6,"","","1",3,2.66666666666667,3.75,2.66666666666667,3.08333333333333,3.33333333333333,3.66666666666667,4,3.33333333333333,3.61538461538462,10,12,9,13,10,12,12,10,66,2.5,3,4,3,2,1,0.8,0.833333333333333,0.857142857142857,1,0.833333333333333,20.6,23,1,"education","education",NA,"prefer full"
43,1808,"","Multiple times an hour","Yes, more than once",3,3,3,"Sunfish",NA,NA,1,1,NA,1,1,1,NA,NA,4,3,4,3,4,3,4,4,4,4,4,4,2,3,5,5,5,5,5,NA,NA,0,1,NA,0,0,1,NA,NA,0,NA,1,NA,1,NA,NA,NA,1,1,NA,NA,1,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.596","1130.573","1132.2","148","","","",NA,NA,NA,NA,NA,"Alternative 2: I would prefer the tests with guidance, together with the reminder elements.","","","",NA,"I prefer to select the training myself.",1,1,NA,NA,1,NA,NA,NA,1,1,NA,1,NA,0,NA,0,0,0,NA,NA,1,0,NA,1,0,1,1,NA,NA,0,NA,NA,NA,1,"",5,5,5,5,5,1,5,5,5,4,5,5,5,5,5,4,5,4,"36-45","Graduate university degree (Bachelor/Master)","","No, other education or occupation","",2,2,5,1,2,2,3,5,2,2,4,4,4,4,4,3,4,4,4,2,3,2,4,4,2,4,"","","Yes, you can use this data","","33.7","001101110010101001110010","","","","2024-08-28T10:35:17.384Z","2024-08-28T10:36:30.425Z","2024-08-28T10:55:32.584Z","2024-08-28T10:57:08.284Z","2024-08-28T10:58:53.448Z","2024-08-28T11:00:38.722Z","1",25.7,"10,12,13,16,17,22,26,27,29,30","","2",3.66666666666667,3.33333333333333,4,3.33333333333333,3.75,3,3.66666666666667,3.5,3.33333333333333,3.38461538461538,13,15,15,11,15,14,15,13,83,2,2.5,2,1.5,2,0.333333333333333,1,1,0.285714285714286,1,0.6,19.7,20,1,"limited","hard",NA,"prefer medium"
44,1779,"","Multiple times a day","No, never",3,3,3,"Sunfish",NA,1,NA,0,NA,0,NA,1,1,NA,2,4,3,3,4,2,4,3,4,5,5,5,4,2,2,2,2,2,2,NA,1,NA,1,NA,1,NA,1,0,NA,1,NA,NA,1,1,NA,NA,NA,1,NA,NA,1,NA,1,"Postman","Look for the 'who-area'","Sending fake copies of real emails","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,"","","","Alternative 1: I would prefer receiving the full training.","I prefer to select the training myself.",1,NA,0,NA,1,NA,1,NA,NA,1,NA,1,1,NA,NA,1,1,1,NA,1,1,NA,1,NA,0,1,NA,1,NA,0,NA,1,NA,NA,"",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,"46-55","Secondary or school diploma","","No, other education or occupation","",2,2,3,3,2,1,4,4,4,3,3,3,4,3,4,2,5,5,4,4,3,5,5,5,5,5,"","","Yes, you can use this data","","31.8","010101011010011001100101","","","","2024-08-28T10:36:59.421Z","2024-08-28T10:40:18.599Z","2024-08-28T10:54:31.504Z","2024-08-28T10:55:58.789Z","2024-08-28T10:59:31.170Z","2024-08-28T11:01:08.957Z","2",19.8,"","","0",2.66666666666667,3.33333333333333,4,4.66666666666667,3.66666666666667,3.33333333333333,3.66666666666667,4.75,5,4.23076923076923,6,6,15,15,15,15,15,15,90,1.5,3,3,3.5,2.5,0.833333333333333,1,0.833333333333333,1,0.6,0.6,18.8,25.8,0,"education","education",NA,"prefer full"
45,1818,"","Multiple times an hour","Yes, more than once",4,4,4,"Sunfish",1,NA,NA,1,NA,1,NA,NA,1,1,1,3,3,1,2,3,4,4,4,4,3,4,4,3,5,4,5,4,5,1,NA,NA,1,NA,0,NA,NA,1,1,1,NA,NA,NA,1,1,NA,NA,1,1,NA,NA,1,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.787","1100.733","1102.935","165","","","",NA,NA,"I would prefer the training I experienced.",NA,NA,NA,"","","",NA,"I prefer the training to be recommended based on personalisation, but the choice remaining with me.",NA,1,1,NA,1,NA,1,1,NA,NA,NA,1,1,1,NA,NA,1,1,NA,NA,1,1,NA,1,0,NA,1,1,NA,1,NA,1,1,NA,"",3,3,5,4,5,5,4,5,5,4,5,5,4,5,5,4,4,4,"26-35","Graduate university degree (Bachelor/Master)","","No, other education or occupation","",5,5,2,1,5,5,5,4,2,5,4,4,4,4,3,4,3,5,4,1,2,5,5,5,2,4,"","","Yes, you can use this data","","42.1","100101001110001101110010","","","","2024-08-28T10:34:51.638Z","2024-08-28T10:37:01.727Z","2024-08-28T10:55:33.487Z","2024-08-28T10:58:00.197Z","2024-08-28T11:00:09.012Z","2024-08-28T11:01:36.217Z","0",29.1,"10,12,22,26,27,29","","2",1.66666666666667,2.66666666666667,4,3.66666666666667,3,2.33333333333333,3.33333333333333,4.5,4,3.61538461538462,12,14,11,14,14,14,14,12,79,5,5,3.5,1.5,5,0.833333333333333,1,1,1,1,0.833333333333333,23.1,27.4,2,"limited","match",NA,"keep"
46,1778,"","Multiple times a day","Yes, more than once",3,3,3,"Sunfish",0,NA,1,NA,NA,1,NA,NA,1,1,2,2,2,3,3,2,4,3,4,4,3,3,3,2,4,2,4,3,2,1,NA,0,NA,NA,0,NA,NA,1,1,NA,1,1,NA,1,NA,1,1,NA,NA,NA,1,NA,0,"Postman","Look for the 'who-area'","Sending fake copies of real emails","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,"","","","Alternative 1: I would prefer receiving the full training.","I prefer the training to be recommended based on personalisation, but the choice remaining with me.",NA,1,NA,1,1,NA,1,1,NA,NA,1,NA,NA,1,NA,1,NA,NA,1,1,1,NA,1,NA,0,NA,1,NA,1,1,NA,1,1,NA,"Phishing can occur through emails, phone calls, and text messages.",4,4,5,5,5,5,4,4,4,5,4,5,4,5,5,5,4,4,"26-35","Graduate university degree (Bachelor/Master)","","No, other education or occupation","",4,4,4,3,1,5,4,4,2,4,4,4,4,3,4,4,4,4,3,4,4,4,5,5,5,4,"","","Yes, you can use this data","","34.7","101001001101101010100101","","","","2024-08-28T10:35:57.212Z","2024-08-28T10:38:34.480Z","2024-08-28T10:55:44.801Z","2024-08-28T10:57:19.233Z","2024-08-28T10:59:05.738Z","2024-08-28T11:01:07.971Z","2",22.7,"","","1",2.33333333333333,2.33333333333333,3.75,3,2.91666666666667,3.66666666666667,4,3.75,5,4.07692307692308,8,9,13,15,12,14,14,13,81,4.5,4,3,2.5,2.5,0.666666666666667,0.833333333333333,1,1,0.8,0.833333333333333,17.7,26.9,1,"education","education",NA,"prefer full"
47,1896,"","Multiple times a day","No, never",2,3,3,"Sunfish",0,0,NA,NA,1,NA,NA,1,0,NA,2,4,2,2,2,2,3,4,4,4,3,3,2,4,3,2,4,1,4,1,0,NA,NA,1,NA,NA,1,1,NA,0,NA,NA,NA,1,1,NA,NA,1,NA,1,NA,1,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.575","1107.283","1111.058","165","","","",NA,NA,NA,NA,NA,"I would prefer the training I experienced.","","","",NA,"I prefer to select the training myself.",NA,NA,1,0,NA,0,1,NA,NA,1,NA,1,1,1,NA,NA,1,0,NA,1,NA,1,NA,1,0,NA,NA,1,0,NA,0,1,NA,NA,"",2,3,2,4,4,4,4,5,3,3,3,4,4,4,4,4,2,4,"26-35","Graduate university degree (Bachelor/Master)","","No, other education or occupation","",4,4,4,2,2,4,4,4,3,4,2,3,3,3,2,3,4,4,4,2,3,4,4,4,2,4,"","","Yes, you can use this data","","26.8","110010011010001101101010","","","","2024-08-28T10:35:29.538Z","2024-08-28T10:37:31.513Z","2024-08-28T10:56:43.358Z","2024-08-28T10:57:53.861Z","2024-08-28T10:59:54.212Z","2024-08-28T11:01:50.362Z","1",15.8,"10,12","","2",2,2.66666666666667,3.75,2.66666666666667,2.91666666666667,2.66666666666667,3,4,3.33333333333333,3.30769230769231,9,9,7,12,12,10,12,10,63,4,4,3.5,2.5,3,0.666666666666667,1,0.666666666666667,0.857142857142857,0.4,0.4,14.8,16.2,0,"limited","hard",NA,"keep"
48,1907,"","Multiple times a day","No, never",3,3,4,"Sunfish",1,NA,NA,0,NA,1,NA,1,NA,1,4,4,2,3,1,2,4,4,5,3,3,4,4,4,2,4,5,5,5,1,NA,NA,1,NA,0,NA,0,NA,1,NA,1,1,NA,1,NA,1,1,NA,1,NA,NA,NA,1,"Postman","Look for the 'who-area'","Sending fake copies of real emails","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,"","","","I prefer the option I received.","I prefer the training to be assigned based on personalisation.",NA,1,0,NA,1,NA,1,NA,1,NA,0,NA,NA,0,NA,1,NA,NA,1,NA,1,1,1,NA,0,NA,1,0,NA,1,NA,1,NA,1,"Phishing can occur through emails, phone calls, and text messages.",5,4,5,4,5,5,2,5,4,5,5,5,4,5,5,5,5,4,"36-45","Associate or technical degree","","No, other education or occupation","",1,4,2,5,1,1,4,3,5,1,3,3,4,3,1,2,4,4,4,4,3,4,4,4,5,5,"","","Yes, you can use this data","","31.4","100101010101101010110001","","","","2024-08-28T10:37:15.559Z","2024-08-28T10:39:14.884Z","2024-08-28T10:54:28.633Z","2024-08-28T10:56:30.337Z","2024-08-28T10:59:31.577Z","2024-08-28T11:01:36.919Z","2",22.4,"","","1",3,2.33333333333333,4,3.66666666666667,3.25,3.33333333333333,2.33333333333333,4.25,4.33333333333333,3.61538461538462,10,15,14,14,11,15,14,14,82,1,4,4.5,5,1,0.666666666666667,1,0.666666666666667,0.833333333333333,0.8,0.666666666666667,21.4,21.8,1,"education","education",NA,"keep"
49,1861,"","Multiple times an hour","No, never",3,3,4,"Sunfish",NA,NA,1,1,0,NA,1,1,NA,NA,3,3,3,4,3,2,3,3,4,3,3,3,3,3,4,5,3,4,5,NA,NA,0,0,1,NA,0,1,NA,NA,NA,1,1,NA,NA,1,1,1,NA,1,1,NA,0,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.202","482.932","484.596","136","1.947","45.958","45.976","23","1.989","480.187","481.47","111","","","","","","","",NA,"Alternative 1: I would prefer the full training with educational videos, tests with guidance, and the reminder elements.",NA,NA,NA,NA,"","","",NA,"I prefer the training to be assigned based on personalisation.",1,1,NA,NA,NA,1,NA,NA,1,1,1,NA,NA,0,1,NA,NA,NA,1,NA,NA,1,NA,1,0,1,1,NA,NA,NA,1,NA,NA,1,"Phishing can occur through emails, phone calls, and text messages.",2,4,4,4,5,4,4,3,4,4,4,4,4,3,3,3,3,3,"46-55","Graduate university degree (Bachelor/Master)","","No, other education or occupation","",4,2,4,2,2,5,2,4,3,4,3,3,3,3,3,3,3,4,5,4,5,4,5,4,3,2,"","","Yes, you can use this data","","27.5","001110110001100110011010","","","","2024-08-28T10:40:10.497Z","2024-08-28T10:41:34.504Z","2024-08-28T10:58:51.961Z","2024-08-28T11:00:01.118Z","2024-08-28T11:00:50.073Z","2024-08-28T11:02:07.320Z","0",21.5,"1,4,10,19,22,13","","1",3.33333333333333,2.66666666666667,3.25,3,3.08333333333333,4,3,3.75,4,3.69230769230769,12,12,10,13,11,12,10,9,65,4.5,2,2.5,2.5,3,0.5,0.857142857142857,1,0.8,0.8,0.8,19.5,20.8,1,"medium","match",NA,"prefer full"
