age,gender,gender_other,ethnicity,ethnicity_other,education_level,employment_status,annual_income,has_it_training,has_it_job,can_recall_phishing,digital_literacy_wiki,digital_literacy_meme,digital_literacy_phishing,digital_literacy_bookmark,digital_literacy_cache,digital_literacy_ssl,digital_literacy_ajax,digital_literacy_rss,digital_literacy_other,unsafe_email_ways_list,suspicious_email_recognition,suspicious_emails_received,email_brief_summary,what_made_email_suspicious,what_made_decision_hard,what_email_asked_todo,emotion_dread,emotion_terror,emotion_anxiety,emotion_nervous,emotion_scared,emotion_panic,emotion_fear,emotion_worry,email_features_noticed,email_recency,email_account_type,email_account_type_other,email_content_type,email_content_type_other,email_sender_type,email_sender_type_other,felt_similar_before,previous_sender_emails,previous_sender_interaction,sender_relationship_duration,expected_this_email,email_seemed_different,actions_requested,sender_issues,subject_line_issues,email_body_issues,overall_suspicion,suspicion_confidence,investigation_methods,investigation_methods_other,contacted_sender_how,final_decision,decision_confidence,actions_with_email,perceived_harm,detailed_incident_narrative,story_recall_difficulty,previous_incidents
25,Woman,,"Hispanic, Latino or Spanish",,"Postgraduate or professional degree, including master’s, doctorate, medical or law degree",Employed full time,"$100,000 to $149,999",No,No,"Yes, I have received email messages like this in the past.",Good,Good,Good,Good,Good,Good,Little,Little,Some,If it's from a sender you do not recognize.,When they ask for credit card information or want you to open links.,phishing to send me to a suspicious link email asking for money,The email had a sob story asking for money,asking for money,I didn't know the person,To open a link and send them money,Not at all,Not at all,Somewhat,Quite a bit,Somewhat,Not at all,Somewhat,Somewhat,"Link(s) in the email,Sender's name,Request for action in the email",Longer than one year ago,Student Email account,,This email was of a personal nature,,Other (please describe),Someone I don't know,Somewhat disagree,No,No,I did not know the sender,No,Strongly agree,"Click on a link or button,Take some action outside of the email",The sender's email address looked different than I would expect,The subject line was different than I would expect,"The main body of the email was missing something that I would expect to be in an email like this,The main body of the email included more information than I expect to be in an email like this","Yes, I thought it was harmful",9,"Hovered over one or more of the links in the email to see where it went,Looked at email headers,Asked someone else about the email",,I did not try to contact the sender,"No, the email was definitely not safe",9,Deleted the email,Somewhat disagree,I received this email with the headline saying send me money and it sounded urgent but it was scary. I'm not sure who it was and what they needed it for but it had a link to it as well. I obviously didn't click on the link or sent them money. A vulnerable person would have fallen for this. I honestly feel like maybe something bad would happen but I wasn't sure. I just ended up deleting it.,Somewhat easy,"Received a notification from a company that your information was involved in a data breach,Had a virus on your computer or mobile device"
25,Woman,,"Hispanic, Latino or Spanish",,"Some postgraduate or professional schooling, no postgraduate degree",Employed full time,"$50,000 to $74,999",No,No,"Yes, I have received email messages like this in the past.",Good,,Good,Good,,Little,Little,Little,Little,spam that asks for your personal information such as your credit card or social,"they can get your card information and take all your money, they can steal your social and use it against you","spam emails, junk emails that are inappropriate",inappropriate spam mail,it was trying to get me to click on a link,i was not sure if it was spam or from someone i knew messing with me,click on an inappropriate link attached,Not at all,Not at all,Somewhat,Not at all,Somewhat,Not at all,Not at all,Somewhat,"File(s) attached to the email,What the email was about,Images in the email",Within the last week,Personal Email account,,This email was of a personal nature,,I don't remember,,Somewhat agree,No,No,I did not know the sender,No,Strongly agree,"Click on a link or button,Take some action outside of the email",The sender's email address looked different than I would expect,The subject line was different than I would expect,The main body of the email included something strange that I do not normally see in an email like this,"Yes, I thought it was harmful",11,"Clicked on one or more of the links to see where it went,Looked more closely at the the email address the email came from",,I did not try to contact the sender,"No, the email was definitely not safe",11,"Deleted the email,Clicked a button to report the email as spam",Strongly disagree,"So one night around 11 pm I decided to check my emails and seen something fishy in my inbox. I clicked on it not knowing what to expect because the title was so out there and it threw me off. It was an inappropriate email that had to do with a sexual website asking for specific favors which I know I have never clicked on or signed up for, it was a bit scary and weird so I reported it as spam and deleted it because I am horrified at how this company got my email. They were clearly trying to scam me",Somewhat easy,None of the above
20,Woman,,"Hispanic, Latino or Spanish",,"Some college, no 4-year degree",Student and employed part time,"$50,000 to $74,999",No,No,"Yes, I have received email messages like this in the past.",Little,Some,Little,,Little,,,,,Soliciting personal information sending links for you to click on  unknown sender  computer generated email address  spam/junk mail,Unknown sender  the message sent has no relation to you  very little information provided by the sender  sender provides you with a link to click,I have to received MULTIPLE emails from individuals with email addresses which end in my colleges .edu but it was made known that these emails were sent by a hacker and should be ignored,The email was sent from my university's .edu and was from a person I had never come in contact with and it only included a link to be clicked on,unknown sender with suspicious message,didn't know if it was fake,click on external link,Not at all,Not at all,Somewhat,Not at all,Not at all,Not at all,Not at all,Somewhat,"Link(s) in the email,Sender's name,Company or business the sender belonged to,Request for action in the email,Information missing from the email,Length of the email",Within the last year,Student Email account,,"Other (please describe, briefly)",the email was unsolicited with no context,Other (please describe),someone with my university's .edu,Somewhat agree,No,No,I did not know the sender,No,Strongly agree,Click on a link or button,I didn't notice anything that felt off about the sender,I don't remember much about the subject line of the email,"The main body of the email was missing something that I would expect to be in an email like this,The main body of the email included less information than I expect to be in an email like this","Yes, I thought it was harmful",9,"Hovered over one or more of the links in the email to see where it went,Looked at email headers,Asked someone else about the email",,I did not try to contact the sender,"No, the email was definitely not safe",11,"Deleted the email,Clicked a button to report the email as spam",Strongly disagree,"I was scrolling through my inbox as I do everyday, when I noticed an email from someone with a @ou.edu email address. I did not know who this person was or why they would be emailing me, and the email did not have a subject line. I opened the email and noticed it just contained a link for me to click with no other context that would explain why I was sent the email. After a couple months of emails occurring like this, the university issued a statement saying these emails were unsafe, and to ignore/delete them.",Somewhat easy,"Received a notification from a company that your information was involved in a data breach,Had a virus on your computer or mobile device,Stranger used your credit card number without your knowledge or permission"
63,Man,,"White,American Indian or Alaska Native",,"Some college, no 4-year degree",Unemployed not looking for work,"$75,000 to $99,999",No,No,"Yes, I have received email messages like this in the past.",Full,Good,Full,Full,Good,Little,,Little,Little,Link with malware to steal your information,The email address I would check it to see where it came from,Your account has been locked from amazon Kohl’s Emails from banks saying your accounts is having suspicious activity,The account is locked  I remember it looked very much like an email from amazon. It said to follow a link to change your password,I knew my account wasn’t locked,I usually delete it,Click a link to change my information,Not at all,Not at all,Somewhat,Not at all,Not at all,Not at all,Not at all,Moderately,"Link(s) in the email,What the email was about,Sender's name,Images in the email",Within the last month,Personal Email account,,This email was of a personal nature,,"A company, business or other organization",,Somewhat agree,I'm not sure,I'm not sure,I did not know the sender,No,Strongly agree,Click on a link or button,I didn't notice anything that felt off about the sender,The subject line was different than I would expect,I didn't notice anything that felt off about the main body of the email,"Yes, I thought it was harmful",11,Looked more closely at the the email address the email came from,,I did not try to contact the sender,"No, the email was definitely not safe",11,Deleted the email,Strongly disagree,I received this email and my personal email I looked at it and it seems strange that Amazon would email me about my account being locked when I had just placed an order the day before so I went to my Amazon app open it up looked it over and saw that it was unlocked that no one had compromise did that none of my money was gone that my account card had not been used so I just therefore just clicked on the sender to see where it was coming from an obvious it was obvious it was not an account from Amazon it’s self so I simply deleted the email,Extremely easy,"Received a notification from a company that your information was involved in a data breach,Someone broke in or hacked your computer, mobile device, or account"
78,Man,,White,,Some high school,Retired,"$25,000 to $34,999",No,No,"Yes, I have received email messages like this in the past.",,,Little,Little,,,,,,Offering money,Unusual email addresses,Walmart secret shopper,Did not open it. Called wife to look at it,"Suspicious address, too many questions",Called wife to look at it.,Go shopping at Walmart  and but money orders,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Quite a bit,"File(s) attached to the email,Sender's name,Request for action in the email,Mistakes or poor quality",Within the last month,Personal Email account,,"Other (please describe, briefly)",Secret shopper,"A company, business or other organization",,Strongly agree,I'm not sure,No,I did not know the sender,No,Somewhat agree,Click on a link or button,The sender's email address looked different than I would expect,I don't remember much about the subject line of the email,The main body of the email included typos or other issues that I didn't expect to be in an email like this,"Yes, I thought it was harmful",8,Asked someone else about the email,,I did not try to contact the sender,I was still not sure whether the email was safe or not,8,Deleted the email,Neither agree nor disagree,Contacted wife. She read it. We thought about contacting  police. Decided not to. Deleted it and set up computer to block future posts. In future will be very aware of emails like this.i can't  think of anything else except to be aware of suspicious  emails. Will be kept aware of suspicious  activity on computer.,Somewhat difficult,Stranger used your credit card number without your knowledge or permission
34,Woman,,"Hispanic, Latino or Spanish",,"Postgraduate or professional degree, including master’s, doctorate, medical or law degree",Employed full time,"$100,000 to $149,999",No,No,"Yes, I have received email messages like this in the past.",Full,Full,Good,Full,Good,Some,Some,Some,Little,"An email message that asks you to click on a link, asks for a donation, asks to call a phone number or reply to an email.","An email from a subject I don't recognize, whose subject says something along the lines of, ""limited offer!"" ""click now"" ""emergency""",1. Emails asking for donations 2. Emails asking me to click on a link for a special prize 3. Emails asking me to enroll on a lottery,The email was from 'Sophie' a name that I did not recognize. The subject matter said click here for free opportunities. The message of the email had several links in which to click for free money.,the subject and links,not sure what the purpose was,click on a link,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Somewhat,"Link(s) in the email,What the email was about,Sender's name,Request for action in the email",Within the last week,Personal Email account,,This email was of a personal nature,,An acquaintance from outside work,,Somewhat agree,I'm not sure,No,I did not know the sender,No,Strongly agree,"Click on a link or button,Take some action outside of the email",The sender's name looked different than I would expect,The subject line was different than I would expect,The main body of the email included something strange that I do not normally see in an email like this,"Yes, I thought it was harmful",11,"Looked more closely at the the email address the email came from,Looked at email headers",,I did not try to contact the sender,"No, the email was definitely not safe",11,Clicked a button to report the email as spam,Somewhat disagree,"I received an email from a person named Sophie, who I have no recollection of. The subject line said Please Click Here for Special Offers, which was odd because I don't recall signing up for anything relating to that. The body of the email contained suspicious links, and it prompted me to click on the links for free products and free offers.",Extremely easy,Received a notification from a company that your information was involved in a data breach
55,Woman,,"Hispanic, Latino or Spanish",,"Some college, no 4-year degree",Disabled,"$25,000 to $34,999",No,No,"Yes, I have received email messages like this in the past.",,Little,,,,,,,,"'-I've won the lottery -I have inherited $1000000 dollars - they will buy something from me, send a check for higher than price agreed upon and I have to deposit the check and send them back a certain amount. - I should click to open a window",'-inheriting from people I don't know -I don't enter foreign lotteries -nobody is going to send you a check that is over the amount agreed upon,'-lottery scam -inheritance scam -fake check scam,You have won the lottery scam.,"1000000 prize, in Nigeria, send bank information",It was not hard to delete.,Asking me to send my bank information,Quite a bit,Moderately,Moderately,Moderately,Moderately,Not at all,Moderately,Moderately,"What the email was about,Mistakes or poor quality",Longer than one year ago,Personal Email account,,"Other (please describe, briefly)",money scam,I don't remember,,Strongly agree,I don't remember,No,I did not know the sender,No,Strongly agree,Respond to the email with some information,I don't remember who the email said it was from,The subject line was different than I would expect,I don't remember much about the main body of the email,"Yes, I thought it was harmful",11,Asked someone else about the email,,I did not try to contact the sender,"No, the email was definitely not safe",11,Deleted the email,Strongly disagree,"I got a scam Email saying that I won $1000000.  First of all, I never entered a lottery and I do not know anyone from the continent of Africa.  Yeah and it came from Nigeria, and they wanted my bank account number !  What a joke !  I got scammed once before from Nigeria.  Never again!  And anyway, why would I or anyone send their banking information to some stranger?  I still can't believe that they tried this scam!",Somewhat easy,"Had a virus on your computer or mobile device,Stranger used your credit card number without your knowledge or permission"
77,Man,,"Some Other Race, Ethnicity or Origin (please specify)",DTS,"Some postgraduate or professional schooling, no postgraduate degree",Retired,"$200,000 or more",No,No,"Yes, I have received email messages like this in the past.",,Little,Full,Full,Full,Some,,Little,,1. Request for personal information 2. Request to call a number for an organization that is familiar,"1. Request for information 2. Statement that they are from a government organization (e.g. IRA, Social Security). 3. Relative in trouble - needs help",Fraud department Utility will terminate service IRA lien,Fraud alert. The message requested that I call a telephone number for a company with which I do business. The company of course was fgamiliar; the phone number was not.,The phone number,I use the company,Call a fraud alert number,Not at all,Not at all,Somewhat,Somewhat,Somewhat,Not at all,Somewhat,Somewhat,"What the email was about,Request for action in the email",Within the last year,Personal Email account,,This email was of a personal nature,,"A company, business or other organization",,Somewhat disagree,I'm not sure,Yes,More than 10 years,No,Strongly agree,Take some action outside of the email,I didn't notice anything that felt off about the sender,I don't remember much about the subject line of the email,The main body of the email included typos or other issues that I didn't expect to be in an email like this,I was not sure about whether it was harmful or not,11,None of the above,,I contacted the sender via phone,I was still not sure whether the email was safe or not,8,Left the email in my inbox,Neither agree nor disagree,"After receiving a fraud alert email requesting me to call a company I do business with, I checked the phone number, and it was not what I had on file. I also was unaware of any fraudulent activities involving me; however I had my doubts. Therefore I called the number requested, and they started to ask me questions to corroborate my identity. I was reluctant to provide any information, and they told me that they would not provide information to me because they were concerned about my identity.    After a bit of a discussion I terminated the call. Subsequently I called the firm at a number that was familiar to me. They wound up transfering me to the fraus department internally. The end result is that the email was legitimate, just poorly constructed). The good news is that therre was no fraus regarding my account.",Somewhat easy,"Received a notification from a company that your information was involved in a data breach,Had a virus on your computer or mobile device,Stranger used your credit card number without your knowledge or permission"
70,Woman,,"Hispanic, Latino or Spanish",,4-year college degree,Retired,"$50,000 to $74,999",No,No,"Yes, I have received email messages like this in the past.",Some,Some,Full,Full,Good,,,,,"one time received an email that said that I was in trouble with the IRS and was on trial in a case with a number and had to report by calling a certain number etc.,t was very scary",emails that require you to give your personal information to receive gifts you never asked for emails asking for your signature on petitions emails with threats on legal actions you are not even aware of,"legal action emails signing emails of things you don't care about, social problems etc. emais that want your personal info without requesting it emails asking you for money",one time I received an email asking for money to save a friend who was in jail in Africa.,Because the friend mentioned never had an interest in traveling to Africa,Because of the element of surprise and doubt as to the truth or the falsehood of the email,to send money to a foreign bank account to save a friend,Moderately,Moderately,Moderately,Quite a bit,Moderately,Moderately,Moderately,Somewhat,"What the email was about,Request for action in the email,Information missing from the email,Mistakes or poor quality",Longer than one year ago,Personal Email account,,This email was of a personal nature,,"A company, business or other organization",,Strongly disagree,No,No,I did not know the sender,No,Strongly agree,"Click on a link or button,Open something that was attached to the email,Respond to the email with some information",The sender's email address looked different than I would expect,I don't remember much about the subject line of the email,The main body of the email was missing something that I would expect to be in an email like this,"Yes, I thought it was harmful",11,"Looked more closely at the the email address the email came from,Looked at email headers",,I did not try to contact the sender,"No, the email was definitely not safe",11,"Deleted the email,Clicked a button to report the email as spam",Somewhat agree,"Upon receiving this email with the name of a real friend who was supposedly in jail after taking a trip to Africa I got worried at first. They were asking me for ransom money in her behalf. I immediately went to the phone and called my friend , the one who was supposedly jailed in Africa, and after hearing that she was safe and sound at home, I then proceeded to delete the email, not without reporting this kind of action to the people in charge of the emails. I concluded someone had stolen the contacts in my email and had decided to do this sort of fraudulent action.",Extremely easy,"Fell victim to a phishing email message or other scam email,Had a virus on your computer or mobile device,Identity theft more extensive than use of your credit card number without permission"
54,Woman,,Black or African American,,"Some college, no 4-year degree",Disabled,"$50,000 to $74,999",No,No,"Yes, I have received email messages like this in the past.",Good,,Some,Full,Good,,Good,,,Email can have a virus hidden in it,If someone emails you and the email states that it’s in response to an email you sent but you don’t recognize the sender’s email. If an email starts with I saw your post but you haven’t posted anything.,I got an email that said I saw your post but I’m sure I hadn’t posted anything. An email said I was impressed with your resume but I’m sure I didn’t send or post a resume.,I received the email and did not recognize the sender. I also was sure I hadn’t posted anything so I deleted the email without opening it.,The email address was foreign to me.,It was hard to deal with the email because I was curious,"The email was asking me to open, read and respond.",Moderately,Moderately,Quite a bit,Quite a bit,Somewhat,Somewhat,Somewhat,Somewhat,"File(s) attached to the email,Sender's name,Request for action in the email,Mistakes or poor quality",Within the last year,Personal Email account,,This email was of a personal nature,,A close friend or family member,,Strongly agree,No,No,I did not know the sender,No,Somewhat agree,Respond to the email with some information,The sender's name looked different than I would expect,The subject line was different than I would expect,I don't remember much about the main body of the email,I was not sure about whether it was harmful or not,11,Looked more closely at the the email address the email came from,,I did not try to contact the sender,I was still not sure whether the email was safe or not,10,Deleted the email,Strongly disagree,"I saw an email that I didn’t recognize the senders email address or name. The subject said urgent, open immediately. I saw your post. I didn’t open the email because I wasn’t sure that it was harmless. From what I could see it contained typos. I did not open the email because I wasn’t sure it was harmless.",Somewhat easy,Identity theft more extensive than use of your credit card number without permission
36,Woman,,"Hispanic, Latino or Spanish",,"Technical, trade, or vocational school AFTER high school",Employed part time,"Less than $25,000",No,No,"Yes, I have received email messages like this in the past.",Good,Some,,Good,Good,,,,,"unknown sender, foreign messages",requesting my personal info or promising dreams,"people from Nigeria continued to contact me saying we are family, send my bank routing and account number. Just a bunch of stuff not making sense.",I opened it and knew it was baloney,it was forign,it was not,send very personal information about my accounts.,Not at all,Somewhat,Quite a bit,Quite a bit,Somewhat,Somewhat,Somewhat,Somewhat,"What the email was about,Sender's name,Request for action in the email,Mistakes or poor quality",Within the last year,Personal Email account,,This email was of a personal nature,,Other (please describe),a stranger from Nigeria,Strongly agree,I'm not sure,No,I did not know the sender,No,Strongly agree,"Open something that was attached to the email,Respond to the email with some information,Take some action outside of the email",The sender's email address looked different than I would expect,The subject line was different than I would expect,The main body of the email included something strange that I do not normally see in an email like this,"Yes, I thought it was harmful",11,None of the above,,I did not try to contact the sender,"No, the email was definitely not safe",11,"Deleted the email,Clicked a button to report the email as spam",Strongly disagree,"I opened the email and knew that I did not know the sender. The person was saying things like we were related and a relative had passed away leaving me millions.  Lies. I did not respond, but I did flag the email. The tried to send similar emails, but I caught on and the emails eventually stopped. There is no way that I have relatives in Nigeria. And suddenly they die leaving me millions? The way I found out is through a random foreign email. Yea right. That's really suspicious. Not even a legitimate attorney or anything, Then they want MY info. Such as Account and routing number.",Extremely easy,"Fell victim to a phishing email message or other scam email,Received a notification from a company that your information was involved in a data breach,Had a virus on your computer or mobile device"
40,Woman,,"Hispanic, Latino or Spanish",,High school graduate or GED certificate,Employed full time,"$35,000 to $49,999",No,No,"Yes, I have received email messages like this in the past.",Full,Full,Good,Full,Some,,Good,,,I typically get emails where it will say that I am approved for a substantial amount of money and ask for my personal information such as my D.L and S.S numbers.,asking for personal information  ss numbers dl numbers address phone numbers,one main financial     fraud speedy cash               fraud,I had applied for a loan through speedy cash and was not approved..then I get an email the next day saying it was a mistake and that I was approved. then I got suspicious when they started to ask me to send money to them,"suddenly approved, asking for my money,",something didnt feel right about it,send money and my loan would increase,Moderately,Moderately,Moderately,Moderately,Moderately,Moderately,Moderately,Moderately,"What the email was about,Company or business the sender belonged to,Images in the email,Length of the email,Mistakes or poor quality",Within the last year,Personal Email account,,This email was of a personal nature,,"A company, business or other organization",,Strongly agree,Yes,Yes,Between one month and one year,No,Strongly agree,"Open something that was attached to the email,Take some action outside of the email",I didn't notice anything that felt off about the sender,The subject line was different than I would expect,I didn't notice anything that felt off about the main body of the email,"Yes, I thought it was harmful",11,Other,i called speedy cash myself,I contacted the sender via phone,"No, the email was definitely not safe",11,"Clicked a button to report the email as spam,Sent the email to someone",Neither agree nor disagree,"So I had applied for a payday loan with speedy cash and was not approved. Oddly, the next day I received an email stating they had made a mistake and I had been approved. The sent a list of information that they needed to collect which I did not send. So I immediately called Speedy Cash and let them know about this email and I forwarded it to them and they apologized and told me it was fraudulent and not from them.",Extremely easy,Stranger used your credit card number without your knowledge or permission
36,Woman,,White,,"None, or grades 1-8",Unemployed not looking for work,"Less than $25,000",No,No,"Yes, I have received email messages like this in the past.",,,,,,,,,,Hacking,People from different countries hacking you,Military hack,Wanting money saying that he was retired vet and that he was homeless,Wanting money saying that he was retired vet,Deleting,Send money,An extreme amount,An extreme amount,Somewhat,Somewhat,An extreme amount,Somewhat,Somewhat,An extreme amount,Mistakes or poor quality,Longer than one year ago,Personal Email account,,This email was of a personal nature,,I don't remember,,Strongly agree,No,No,I did not know the sender,No,Strongly agree,Take some action outside of the email,I don't remember who the email said it was from,The subject line was different than I would expect,The main body of the email included something strange that I do not normally see in an email like this,"Yes, I thought it was harmful",11,Asked someone else about the email,,I did not try to contact the sender,"No, the email was definitely not safe",11,Deleted the email,Somewhat agree,I saw this email and I don't know what is going on but he's asking me for money and he is homeless and and a vet but I don't trust him and I should I delete it or should I call the cops what should I do this is really bothering me and I will be deleting it I just don't know what to do with the email I hope you can help,Extremely easy,"Received a notification from a company that your information was involved in a data breach,Had a virus on your computer or mobile device,Someone broke in or hacked your computer, mobile device, or account"
28,Woman,,"White,Hispanic, Latino or Spanish",,4-year college degree,Disabled,"$35,000 to $49,999",No,No,"Yes, I have received email messages like this in the past.",Good,Some,Good,Good,Good,,,,,it can leave a virus on your computer or be used to steal your identity,"misspellings, go directly to the website instead of clicking the email",A wells fargo email but it had a misspelling and when I went to the website and logged into my account I didn't have any messages,i saw it and it said that I had a fraud issue,mispelling,I didn't know if I should just delete it or report it,click the link for help,Not at all,Not at all,Somewhat,Somewhat,Not at all,Not at all,Not at all,Somewhat,"Request for action in the email,Mistakes or poor quality",Within the last month,Student Email account,,This email was of a personal nature,,"A company, business or other organization",,Somewhat agree,Yes,No,I did not know the sender,No,Somewhat agree,Click on a link or button,I don't remember who the email said it was from,I don't remember much about the subject line of the email,The main body of the email included typos or other issues that I didn't expect to be in an email like this,I was not sure about whether it was harmful or not,7,Asked someone else about the email,,I did not try to contact the sender,I was still not sure whether the email was safe or not,7,Deleted the email,Strongly disagree,it looked like a wells Fargo email about fraudulent activity on my account. It didn't seem right and wells Fargo has never sent me an email like that even when I did have fraudulent activity in my account and in another state that I had never been to before. I logged into the secure wells fargo site and my account was fine so I deleted the phishing email from my inbox.,Neither easy nor difficult,Received a notification from a company that your information was involved in a data breach
58,Woman,,"Hispanic, Latino or Spanish",,"Some college, no 4-year degree",Unemployed looking for work,"$150,000 to $199,999",No,No,"Yes, I have received email messages like this in the past.",Some,Some,Good,Some,Some,Some,Little,Little,Little,If you don't recognize the sender,unrecognizable sender,can't remember,from an unknown person,unrecognizable sender,unrecognizable subject,suspicious request,Somewhat,Not at all,Somewhat,Somewhat,Not at all,Not at all,Not at all,Somewhat,"File(s) attached to the email,Link(s) in the email,Company or business the sender belonged to,Request for action in the email",Within the last year,Personal Email account,,This email was of a personal nature,,A close friend or family member,,Somewhat agree,No,No,I did not know the sender,No,Somewhat agree,"Click on a link or button,Respond to the email with some information",I don't remember who the email said it was from,I don't remember much about the subject line of the email,I didn't notice anything that felt off about the main body of the email,I was not sure about whether it was harmful or not,8,Clicked on one or more of the links to see where it went,,I did not try to contact the sender,I was still not sure whether the email was safe or not,8,Deleted the email,Neither agree nor disagree,"I received an email from what was the name of a friend of mine, however the subject matter was off. I thought about it, but decided to delete it because the name of the sender that I knew would not have sent this type oe email. I later contacted my friend, who was supposedly the sender and she said she sent no such thing.",Somewhat easy,Fell victim to a phishing email message or other scam email
21,Woman,,"White,Hispanic, Latino or Spanish",,"Some college, no 4-year degree",Employed part time,"$35,000 to $49,999",No,No,"Yes, I have received email messages like this in the past.",Good,Full,Good,Some,Little,,,,,The email address that the email was sent from looked like a bot. Another suspicious quality is when they try to sell you auto insurance or make you seem like you already signed up for something.,"The font is odd, different sizes, capitalized, uncapitalized. Weird email address",See how so and so lost 50 lbs with this one diet pill Welcome to ____ life insurance,The one about the weight was the most obvious one. The picture example of someone who lost weight that they used looks like they stole it from Facebook. The advertisement of the pill looks like they paid someone $20 to make it.,Everything,It wasn't hard,Click on the link,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,"Request for action in the email,Images in the email,Length of the email,Mistakes or poor quality",Within the last week,Personal Email account,,This email was of a personal nature,,I don't remember,,Somewhat agree,Yes,No,I did not know the sender,No,Neither agree nor disagree,"Click on a link or button,Open something that was attached to the email,Take some action outside of the email",The sender's name looked different than I would expect,The subject line was different than I would expect,"The main body of the email included typos or other issues that I didn't expect to be in an email like this,The main body of the email included something strange that I do not normally see in an email like this","Yes, I thought it was harmful",10,None of the above,,I did not try to contact the sender,"No, the email was definitely not safe",10,Left the email in my inbox,Somewhat disagree,"Someone tried to sell me these diet pills. It looked like a scam and the everything about the email was odd. I'm pretty sure if I had clicked on it my computer would get a virus or hacked. It had a weird font and a bunch of the letters were capitalized and un-capitalized, it looked more like a ransom note than an ad. But, whatever.",Somewhat easy,"Received a notification from a company that your information was involved in a data breach,Had a virus on your computer or mobile device,Someone broke in or hacked your computer, mobile device, or account,Stranger used your credit card number without your knowledge or permission"
70,Woman,,"Hispanic, Latino or Spanish",,"Some college, no 4-year degree",Retired,"$25,000 to $34,999",No,No,"Yes, I have received email messages like this in the past.",Little,Some,Little,Good,Some,,,,,links that will send you to a different website.  telling you that you have won a prize or money.  complete a survey,the logo seems slightly off.  the grammar is not correct.,requesting personal information. telling you that you qualify for a free gift. company logo doesn't seem right.,the to box has my first name twice and no last name. it has a picture that that company never uses.  that my fifty dollar reward is waiting.  all I have to do is complete a survey,logo is not the one used by company,because it came from a company I use,to complete a 30 second survey to qualify,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Somewhat,"What the email was about,Images in the email,Formatting or colors in the email,Mistakes or poor quality",Within the last day,Personal Email account,,This email was of a personal nature,,"A company, business or other organization",,Somewhat agree,Yes,Yes,Two to five years,No,Strongly agree,Click on a link or button,The sender's name looked different than I would expect,The subject line was different than I would expect,The main body of the email included something strange that I do not normally see in an email like this,"Yes, I thought it was harmful",11,Looked at email headers,,I did not try to contact the sender,"No, the email was definitely not safe",10,Deleted the email,Neither agree nor disagree,"I received a mail supposedly from CapitalOne informing me I could qualify for a fifty dollar reward.  All I have to do is click the ok button to complete a surey.  Everything about the email seemed off to me.  The from and to box, the company logo didn't look right.  The font was very small. Also the color was different and they used a picture in the middle of the letter that this company never uses.",Somewhat easy,"Received a notification from a company that your information was involved in a data breach,Had a virus on your computer or mobile device,Someone broke in or hacked your computer, mobile device, or account"
20,Woman,,Black or African American,,"Some college, no 4-year degree",Student,"$100,000 to $149,999",No,No,"Yes, I have received email messages like this in the past.",Some,Little,Little,Full,Some,Good,,Little,Good,No name,Fimiliar company name,I received suspicious mail today from anonymous company,I got an email from supcious company,No company name was listed,Because I didn’t know if it was true or not,Provide my personal information to company,An extreme amount,Quite a bit,Somewhat,Somewhat,Moderately,Quite a bit,Somewhat,Moderately,"Other people the email was sent to,What the email was about,Formatting or colors in the email",Within the last day,Student Email account,,I don't remember,,"A company, business or other organization",,Neither agree nor disagree,No,I don't remember,I did not know the sender,Yes,Strongly agree,Respond to the email with some information,I didn't notice anything that felt off about the sender,The subject line was different than I would expect,The main body of the email included typos or other issues that I didn't expect to be in an email like this,"No, I did not think it was harmful",4,Clicked on one or more of the links to see where it went,,I talked to the sender face-to-face about the email,I was still not sure whether the email was safe or not,5,None of the above,Neither agree nor disagree,They began to tell me ways to get money quickly. They said it was a car wrap where I just put in my car and drive around. The email stated I would review 300 weekly. They started acting suspicious when I asked certain questions about the job. They sent me a check to go cash it but sense I felt supcious I didn’t do it.,Extremely easy,None of the above
68,Man,,Black or African American,,"Some postgraduate or professional schooling, no postgraduate degree",Retired,"$50,000 to $74,999",No,No,"Yes, I have received email messages like this in the past.",Some,Little,Good,Full,Little,,,,,they can contain viruses,email address is different and strange; other addressees in email are bogus,need to verify information,can't recall any specific emails,need to verify info,logo was similar,sign in to verify info,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,"Other people the email was sent to,Link(s) in the email,Sender's name,Request for action in the email,Images in the email",I don't remember,Personal Email account,,This email was of a personal nature,,"A company, business or other organization",,Strongly agree,I don't remember,No,I did not know the sender,No,Strongly agree,"Click on a link or button,Open something that was attached to the email,Respond to the email with some information",I don't remember who the email said it was from,I don't remember much about the subject line of the email,"The main body of the email included something strange that I do not normally see in an email like this,The main body of the email included less information than I expect to be in an email like this","Yes, I thought it was harmful",11,"Looked more closely at the the email address the email came from,Looked at email headers",,I did not try to contact the sender,"No, the email was definitely not safe",11,Deleted the email,Strongly disagree,I received an email from an unknown sender. The logo was a company  that I do not do business with. I called the company and asked if they were aware of the email. They asked me to forward the email to the security department for review.  After forwarding the email I moved the email to the spam folder. After moving the email to spam I permanently delated the email from my computer.,Neither easy nor difficult,"Received a notification from a company that your information was involved in a data breach,Had a virus on your computer or mobile device"
